question,reference,prediction,bleu,rouge1,rouge2,rougeL
What is (are) AL amyloidosis ?,"AL amyloidosisis the most common form of amyloidosis, a group of disorders in which an abnormal protein called amyloid builds up in tissues and organs. The signs and symptoms of AL amyloidosis vary among patients because the build up may occur in the tongue, intestines, muscles, joints, nerves, skin, ligaments, heart, liver, spleen, or kidneys. To diagnose AL amyloidosis, healthcare professionals use blood or urine tests to identify signs of amyloid protein and a biopsy to confirm the diagnosis. Treatment may include chemotherapy directed at the abnormal plasma cells, stem cell transplantation, or other treatments based on which symptoms have developed.","AL amyloidosis, also known as primary systemic amyloidosis or AA amyloid disease syndrome, occurs when abnormal proteins called amyloid fibrils accumulate in organs and tissues throughout the body causing damage that can lead to organ failure. The underlying cause appears related to overproduction by plasma cells of light chains released during normal blood cell breakdown. Most affected individuals have no signs or symptoms; however those who do experience problems may develop peripheral nerve abnormalities such as numbness, tingling, pain, muscle weakness, loss of reflexes at the tips of fingers and toes, unsteady gait, constipation, diarrhea, heart arrhythmias including atrioventricular block, shortness of breath caused by fluid accumulation around the lungs, carpal tunnel-like swelling near joints",0.018929115570066463,0.3963133640552995,0.055813953488372085,0.1658986175115207
What is (are) Disseminated superficial actinic porokeratosis ?,"Disseminated superficial actinic porokeratosis (DSAP) is a skin condition that causes dry patches. It is characterized by a large number of small, brownish patches with a distinctive border, found most commonly on sun-exposed areas of the skin (particularly the arms and legs). DSAP usually starts during the third or fourth decade of life and rarely affects children. Lesions usually appear in summer and improve or disappear during winter. While it is usually benign (not cancerous), squamous cell carcinoma or Bowens disease may occasionally develop within patches. DSAP may be inherited in an autosomal dominant matter or may occur sporadically (in people with no family history of DSAP). Some cases are caused by a change (mutation) in the MVK or SART3 genes. Treatment is generally not effective long-term but may include sun protection, topical medications, cryotherapy, and/or photodynamic therapy.","Disseminated superficial actinic porokeratosis, or DSAP, describes an abnormal skin condition that typically affects young adults and consists of multiple brownish-yellow patches with fine scales covering much of their arms, legs, face, scalp and neck; chest, abdomen, back and/or buttocks; upper torso including shoulders & breasts; genitalia; axillae; groin; thighs; ankles; knees; elbows; fingers; toes; palms; nails; ears; eyes; eyelids; lips; nose; mouth; hairline; perineum; anus; penis/ labia majora; vagina; cervix; urethra; urinary bladder; uterus; fallopian tubes; ovaries; testes; prostate gland; rectum",0.02781003130575592,0.20535714285714285,0.06306306306306306,0.16964285714285715
What is (are) Limb-girdle muscular dystrophy type 2A ?,"Limb-girdle muscular dystrophy type 2A (LGMD2A) is an autosomal recessive limb-girdle muscular dystrophy characterized by progressive, symmetrical weakness of the proximal limb and girdle muscles (mainly those around the hips and shoulders) without cardiac involvement or intellectual disability. The condition is caused by mutations in the CAPN3 gene. Type 2A is the most common form of limb-girdle muscular dystrophy, accounting for about 30 percent of cases. Treatment is aimed at maintaining mobility and preventing complications. There are three subtypes of LGMD2A which differ by the distribution of muscle weakness and age at onset: Pelvifemoral limb-girdle muscular dystrophy (also known as Leyden-Mobius LGMD) is the most frequently observed subtype. In these cases, muscle weakness is first evident in the pelvic girdle and later in the shoulder girdle. Onset is usually before age 12 or after age 30;  Scapulohumeral LGMD (also known as Erb LGMD) usually has milder symptoms with infrequent early onset. In most cases, muscle weakness is first evident in the shoulder girdle and later in the pelvic girdle;  HyperCKemia is usually observed in children or young individuals. In most cases, those affected don't have symptoms, just high levels of creatine kinase in their blood.","Limb-girdle muscular dystrophy, including types A and B, refers to any one of several related conditions that cause slowly progressive muscle weakness affecting skeletal muscles used in lifting or movement (skeletal muscles), especially those near joints such as elbows, hips, knees, ankles, wrists, shoulders, etc. This form of MD can also affect other body systems; some cases have been associated with heart problems but this appears less common than previously thought.[290] The symptoms usually begin between ages two and eighteen months when walking becomes difficult because legs appear unusually short due to weakening thigh muscles. In later childhood there may be difficulty climbing stairs followed by loss of motor skills like running, skipping rope, jumping up onto chairs, crawling under tables while seated at them",0.019712083655163744,0.24390243902439027,0.030674846625766874,0.13414634146341464
What are the genetic changes related to androgen insensitivity syndrome ?,"Mutations in the AR gene cause androgen insensitivity syndrome. This gene provides instructions for making a protein called an androgen receptor. Androgen receptors allow cells to respond to androgens, which are hormones (such as testosterone) that direct male sexual development. Androgens and androgen receptors also have other important functions in both males and females, such as regulating hair growth and sex drive. Mutations in the AR gene prevent androgen receptors from working properly, which makes cells less responsive to androgens or prevents cells from using these hormones at all. Depending on the level of androgen insensitivity, an affected person's sex characteristics can vary from mostly female to mostly male.","Mutations in the AR gene cause most cases of AIS, including complete and partial forms. The AR gene provides instructions for making an enzyme called aromatase reductase that is involved with male sexual development before birth by converting certain hormones into other types during early fetal growth. This conversion process helps regulate normal female genital formation when there is no functioning testis present or if it has not descended properly through the abdominal wall within 2 months after conception. Mutations affect either one copy of this gene in each cell; two copies in every cell; or both genes' activity at different times depending upon which cells they occur in: autosomal dominant mutations usually result only while testosterone levels remain high as seen outside the womb; recessive mutations typically become apparent later than",0.09563922197704978,0.3801652892561984,0.11666666666666667,0.2066115702479339
What is (are) Aceruloplasminemia ?,"Aceruloplasminemia is a disorder of iron metabolism. This disorder causes iron to build-up in the body. Signs and symptoms begin in adulthood. People with this disorder tend to develop anemia and diabetes in their 20's. As the condition progresses, movement problems are common, such as tremors, chorea, ataxia, eyelid twitching, and grimacing. Some experience psychiatric problems and dementia in their 40's and 50's. Eye examination may reveal changes in the retina, but these changes typically do not affect vision. Aceruloplasminemia is caused by mutations in the CP gene and are inherited in an autosomal recessive fashion.","Aceruloplasminemia is an iron storage disorder that causes neurological and/or psychiatric symptoms due to abnormal accumulation of copper in certain parts of the body, particularly brain cells such as neurons, oligodendrocytes, astrogliae, Schwann cells; liver cells; skin epithelial cells; adrenal gland cells; endothelial cells; intestinal epithelium cells; retinal pigment epithelial cells; bone marrow cellular elements and blood vessels. Symptoms typically begin during childhood or early adulthood but can develop anytime between infancy through old age with 50% occurring before adolescence. The most common signs/symptoms include ataxia which may be severe enough to cause difficulty walking leading to wheelchair dependency by mid-adolescence; hypochromic microcytic anemia",0.008676363405611847,0.3188405797101449,0.02926829268292683,0.1932367149758454
What are the genetic changes related to Griscelli syndrome ?,"The three types of Griscelli syndrome are caused by mutations in different genes: Type 1 results from mutations in the MYO5A gene, type 2 is caused by mutations in the RAB27A gene, and type 3 results from mutations in the MLPH gene.  The proteins produced from these genes are found in pigment-producing cells called melanocytes. Within these cells, the proteins work together to transport structures called melanosomes. These structures produce a pigment called melanin, which is the substance that gives skin, hair, and eyes their color (pigmentation). Melanosomes are formed near the center of melanocytes, but they must be transported to the outer edge of these cells and then transferred into other types of cells to provide normal pigmentation.  Mutations in any of the three genes, MYO5A, RAB27A, or MLPH, impair the normal transport of melanosomes within melanocytes. As a result, these structures clump near the center of melanocytes, trapping melanin within these cells and preventing normal pigmentation of skin and hair. The clumps of pigment, which can be seen in hair shafts when viewed under a microscope, are a hallmark feature of the condition.  In addition to their roles in melanosome transport, the MYO5A and RAB27A genes have functions elsewhere in the body. Specifically, the protein produced from the MYO5A gene transports materials within nerve cells (neurons) that appear to be critical for cell function. The protein produced from the RAB27A gene is found in immune system cells, where it is involved in the release of certain compounds that kill foreign invaders (such as viruses and bacteria). Mutations in these genes impair these critical cell activities, leading to the neurological problems and immune system abnormalities found in Griscelli syndrome types 1 and 2, respectively.","Mutations in any one of several genes cause GS1, -GS2A, and -GS3. These genes provide instructions for making proteins that work together within cells called melanosomes, which produce pigments used by skin cells such as melanocytes; these cell types give color to our hair, eyes, and skins. The specific role of many melanosome-associated proteins is unknown, but some may help move pigment granules between different parts of the cell or transport them into new structures inside the cell during development before birth.  Mutations involved with all three forms of this condition alter the function of either an enzyme needed at later stages after early fetal life or other protein associated with the melanosome precursor structure known as protoporphyrin",0.005581585673463406,0.35555555555555557,0.044665012406947896,0.1728395061728395
What are the treatments for Bowen-Conradi syndrome ?,These resources address the diagnosis or management of Bowen-Conradi syndrome:  - Genetic Testing Registry: Bowen-Conradi syndrome  - MedlinePlus Encyclopedia: Feeding Tube--Infants   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"These resources address the diagnosis or management of Bowen-Conradi syndrome:  - Gene Review: Gene Review: Brachydactyly Type E/Type F Syndrome and Cleidocranial Dysplasia  - Genetic Testing Registry: Cleft palate, cleft uvula, brachydactyly type e/f with craniosynostosis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",0.6182694070072376,0.7387387387387387,0.6788990825688074,0.7207207207207206
What are the complications of Polycystic Kidney Disease ?,"Babies with the most severe cases of autosomal recessive PKD often die hours or days after birth because they cannot breathe well enough to sustain life. Their lungs do not develop as they should during the prenatal period. Pressure from enlarged kidneys also contributes to breathing problems.
                
Children born with autosomal recessive PKD often develop kidney failure before reaching adulthood.
                
Liver scarring occurs in all people with autosomal recessive PKD and is usually present at birth. However, liver problems tend to become more of a concern as people with autosomal recessive PKD grow older. Liver scarring can lead to progressive liver dysfunction and other problems.
                
Additional complications of autosomal recessive PKD include high blood pressure and UTIs.","Polycystic kidney disease can cause life-threatening problems in children and adults.
                
The cysts grow very slowly, so most people with PKD don't have symptoms until adulthood. The cysts eventually damage kidneys enough that they stop working properly or fail completely, leading to end-stage renal failurea condition in which healthy kidneys no longer function well enough to meet an individuals needs. People who develop ESRD must receive regular dialysis treatment or get a transplant to survive.
                
PKD is also associated with high blood pressurehigh levels of force against artery walls during heartbeatsand increased cholesterollevels of fats, called lipids, including triglycerides and LDL (low-density lipoproteins) cholesterol found in your bloodstream. These health issues put you at risk for cardiovascular",0.016889474163758952,0.3277310924369748,0.04237288135593221,0.12605042016806722
What is (are) Protein C deficiency ?,"Protein C deficiency is a disorder that increases a person's risk to develop abnormal blood clots. The condition can be mild or severe. People with mild protein C deficiency are at risk for a type of clot called deep vein thrombosis (DVT). A DVT can travel through the bloodstream and become stuck in the lung, which can cause a life-threatening pulmonary embolism. Most people with mild protein C deficiency never develop abnormal blood clots, but certain factors can increase the risk to develop a blood clot. In severe protein C deficiency, affected infants develop a life-threatening blood clotting disorder called purpura fulminans soon after birth. This is characterized by blood clots that block normal blood flow and can lead to death of body tissues (necrosis). Abnormal bleeding can occur in various parts of the body causing purple patches on the skin. Protein C deficiency may be inherited or acquired. The inherited form is caused by mutations in the PROC gene and is inherited in an autosomal dominant manner. Most people with protein C deficiency do not have any symptoms and require no specific treatment. However, in situations of clot risk such as pregnancy, surgery or trauma, prevention treatment may be indicated. Patients with the severe form of the disease are treated depending on the symptoms. A protein C concentrate is effective in many cases. Liver transplant may cure the babies with this disease.","Protein C deficiency refers to low levels or dysfunctional protein C in blood, which may predispose affected individuals to developing abnormal clotting and increase their risk of deep vein thrombosis (DVT), pulmonary embolism (PE), stroke, transient ischemic attack (TIA), myocardial infarction (MI; heart attacks), disseminated intravascular coagulation (DIC), purpura/hemorrhagic rash eclampsia syndrome, recurrent pregnancy loss, arterial aneurysm/dilation, intracranial hemorrhage, venous thromboembolism/intravenous therapy-associated DVT/PE/coagulopathy/prolonged prothrombin time/pulmonary hypertension/hypersplenism/decreased circulating platelet numbers/massive bleeding following",0.01583041409372451,0.18867924528301885,0.0569620253164557,0.1069182389937107
What are the genetic changes related to neuromyelitis optica ?,"No genes associated with neuromyelitis optica have been identified. However, a small percentage of people with this condition have a family member who is also affected, which indicates that there may be one or more genetic changes that increase susceptibility. It is thought that the inheritance of this condition is complex and that many environmental and genetic factors are involved in the development of the condition.  The aquaporin-4 protein (AQP4), a normal protein in the body, plays a role in neuromyelitis optica. The aquaporin-4 protein is found in several body systems but is most abundant in tissues of the central nervous system. Approximately 70 percent of people with this disorder produce an immune protein called an antibody that attaches (binds) to the aquaporin-4 protein. Antibodies normally bind to specific foreign particles and germs, marking them for destruction, but the antibody in people with neuromyelitis optica attacks a normal human protein; this type of antibody is called an autoantibody. The autoantibody in this condition is called NMO-IgG or anti-AQP4.  The binding of the NMO-IgG autoantibody to the aquaporin-4 protein turns on (activates) the complement system, which is a group of immune system proteins that work together to destroy pathogens, trigger inflammation, and remove debris from cells and tissues. Complement activation leads to the inflammation of the optic nerve and spinal cord that is characteristic of neuromyelitis optica, resulting in the signs and symptoms of the condition.  The levels of the NMO-IgG autoantibody are high during episodes of neuromyelitis optica, and the levels decrease between episodes with treatment of the disorder. However, it is unclear what triggers episodes to begin or end.","Mutations in genes such as IL360 and ITGAM have been identified that cause or increase risk for NMO; however, their roles remain unknown because these mutations occur very rarely among people with this disorder.  In most cases, no gene is known to be responsible for causing NMO. Researchers suspect multiple factors may contribute to an increased likelihood of developing symptoms associated with the condition: autoimmune disorders, infections like Epstein-Barr virus infection and cytomegalovirus infection, environmental triggers including certain medications taken by some patients before diagnosis were made, smoking cigarettes which has also recently emerged as another possible contributing factor.  Some individuals who develop signs and symptoms similar to those found in persons diagnosed with NMO do not actually meet all diagnostic criteria but instead belong to",0.015768851988481505,0.2518518518518518,0.05459057071960297,0.11851851851851852
What are the symptoms of Papillary renal cell carcinoma ?,"What are the signs and symptoms of Papillary renal cell carcinoma? The Human Phenotype Ontology provides the following list of signs and symptoms for Papillary renal cell carcinoma. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Incomplete penetrance - Papillary renal cell carcinoma - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What signs and symptoms may be associated with papillary renal cancer? The Human Phenotype Ontology provides the following list of signs and symptoms for Papillary Renal Cancer. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Clear cell histologic subtype - End-stage kidney disease - Hematuria - Hypertension - Incomplete penetrance - Neoplasm - Oligohydramnios sequence - Polycystic kidneys - Pregnancy-associated hypertension - Proteinuria - Rapidly progressive nephropathy - Sporadic - Tub",0.18757182330916053,0.4437869822485207,0.39880952380952384,0.4201183431952663
Is Sotos syndrome inherited ?,"How is Sotos syndrome inherited? Sotos syndrome is inherited in an autosomal dominant manner. This means that having a mutation in only one of the 2 copies of the responsible gene (the NSD1 gene) is enough to cause signs and symptoms of the condition. 95% of people with Sotos syndrome do not inherit the condition from a parent. In these cases, the condition is the result of a new (de novo) mutation that occurred for the first time in the affected person. Only about 5% of people with Sotos syndrome have an affected parent and inherit the condition from that parent. If a parent of an affected person with an identified NSD1 mutation does not have any features of Sotos syndrome, that parent is very unlikely to have a mutation in the gene. This can be confirmed with genetic testing if the mutation has been identified in the child. If a person with Sotos syndrome has children, each child has a 50% (1 in 2) chance to inherit the mutation. However, the specific features and severity can vary from one generation to the next, so it is not possible to predict how a child will be affected.","This condition is usually not passed through families, but it can be associated with mutations in one or more genes that have an autosomal dominant pattern of inheritance and cause other disorders such as Weaver syndrome and Noonan syndrome type 1A. These conditions may also involve additional signs and symptoms beyond those seen in people affected by Sotos syndrome alone.",0.003570032446000074,0.26459143968871596,0.0784313725490196,0.12451361867704279
"What are the genetic changes related to distal hereditary motor neuropathy, type V ?","Mutations in the BSCL2 and GARS genes cause distal hereditary motor neuropathy, type V.  The BSCL2 gene provides instructions for making a protein called seipin, whose function is unknown. Mutations in the BSCL2 gene likely alter the structure of seipin, causing it to fold into an incorrect 3-dimensional shape. Research findings indicate that misfolded seipin proteins accumulate in the endoplasmic reticulum, which is a structure inside the cell that is involved in protein processing and transport. This accumulation likely damages and kills motor neurons (specialized nerve cells in the brain and spinal cord that control muscle movement), leading to muscle weakness in the hands and feet.  The GARS gene provides instructions for making an enzyme called glycyl-tRNA synthetase, which is involved in the production (synthesis) of proteins. It is unclear how GARS gene mutations lead to distal hereditary motor neuropathy, type V. The mutations probably reduce the activity of glycyl-tRNA synthetase. A reduction in the activity of this enzyme may impair transmission of nerve impulses. As a result, nerve cells slowly lose the ability to communicate with muscles in the hands and feet.  Mutations in other genes may also cause distal hereditary motor neuropathy, type V.",Mutations in the SPTLC1 gene cause DHMN5 and DHMN6. The protein produced from this gene is part of an enzyme complex that plays important roles during cell division; specifically it helps regulate how many copies of DNA chromosomes cells should have at any given time so they can divide normally into two daughter cells when needed by the body.  Mutations involving either one or both strands of mitochondrial DNA lead to reduced amounts of functional SPTLC1 enzymes within mitochondria throughout affected individuals' bodies. A shortage of these enzymes impairs normal functioning of other proteins involved with regulating chromosome numbers as well as impairing oxidative phosphorylation which disrupts energy production inside each cell's powerhouses called mitochondria. These problems result in impaired nerve function characteristic,0.009471708617927259,0.29102167182662536,0.031152647975077878,0.17337461300309598
How many people are affected by Langer-Giedion syndrome ?,Langer-Giedion syndrome is a rare condition; its incidence is unknown.,"Langer-Giedion syndrome is estimated to affect 1 in every million newborns, although its exact prevalence has not been determined.",0.051366639095059535,0.3225806451612903,0.20689655172413793,0.3225806451612903
